"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","returns summary detail","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","1","extracts JSON from markdown code fences","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 400 for empty videos array","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","4","returns 429 when rate limited","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","passes a good summary","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","1","fails when keyPoints count is too low","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","fails when timestamps are missing","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 400 when q parameter is missing","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","extracts from m.youtube.com","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","78","returns usage info for free user","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","returns null for YouTube URL without video ID","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","60","returns paginated list of summaries","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","fails when parse required retry","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 404 when user not found","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","3","returns 400 for invalid YouTube URL","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","1","fails when summary is too short","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","3","respects limit and offset params","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 400 when videoUrl is missing","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","1","returns 409 for non-pending item","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","returns null for non-YouTube URLs","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","3","deletes a queued item","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","handles extra query params","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","3","resets count when reset date is in the past","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 403 for non-pro users","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","2","returns 404 for non-existent summary","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","5","returns 404 for non-existent item","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
"","0","returns null for invalid URLs","Unit Tests","Sat Feb 21 20:45:38 UTC 2026","passed","Sat Feb 21 20:45:38 UTC 2026","","","",""
