"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","returns 404 for non-existent item","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/:id/retry","",""
"","0","extracts from youtube.com/embed/","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","0","returns null for non-YouTube URLs","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","2","returns 402 with upgrade URL for non-pro users","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/batch","",""
"","0","extracts JSON from markdown code fences","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","3","returns 400 for invalid YouTube URL","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","POST /queue","",""
"","4","returns 429 when rate limited","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue","",""
"","0","extracts from m.youtube.com","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","2","returns 400 for more than 10 videos","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/batch","",""
"","2","includes total time saved from completed summaries","Billing","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /usage","",""
"","0","throws on missing required fields","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","3","returns usage info for pro user","Billing","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /usage","",""
"","0","extracts from youtube.com/v/","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","4","deletes a queued item","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","DELETE /queue/:id","",""
"","2","searches summaries by query","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries/search","",""
"","2","resets count when reset date is in the past","Billing","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /usage","",""
"","2","returns 404 when user not found","Billing","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /usage","",""
"","3","returns 404 for non-existent or already deleted summary","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","DELETE /summaries/:id","",""
"","3","soft-deletes a summary","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","DELETE /summaries/:id","",""
"","0","truncates oversized summary and array items","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","2","fires Inngest event for a pending queue item","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/:id/retry","",""
"","2","returns 400 when videoUrl is missing","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","POST /queue","",""
"","2","extracts from youtube.com/watch?v=","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","3","respects limit and offset params","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries","",""
"","3","returns list of queue items","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","GET /queue","",""
"","3","passes a good summary","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","runChecks","",""
"","1","throws on invalid JSON","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","0","extracts from youtu.be/","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","0","rejects a JSON array instead of an object","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","2","returns 404 for non-existent item","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","DELETE /queue/:id","",""
"","0","returns null for invalid URLs","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","1","fails when summary is too short","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","runChecks","",""
"","1","returns 409 for processing items","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","DELETE /queue/:id","",""
"","1","filters non-string elements from arrays","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","1","fails when timestamps are missing","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","runChecks","",""
"","3","caps limit at 100","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries","",""
"","83","returns paginated list of summaries","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries","",""
"","2","returns summary detail","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries/:id","",""
"","0","returns null for YouTube URL without video ID","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","2","returns 400 for empty videos array","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/batch","",""
"","57","adds a video and returns 201 with summary and position","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","POST /queue","",""
"","3","parses valid JSON response","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","parseSummaryResponse","",""
"","2","returns 400 when q parameter is missing","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries/search","",""
"","1","returns 404 for non-existent summary","Summaries","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /summaries/:id","",""
"","0","handles extra query params","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","0","extracts from youtube.com/shorts/","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","extractVideoId","",""
"","2","returns 409 for duplicate video","Queue","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","POST /queue","",""
"","1","returns 409 for completed item","Queue","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","POST /queue/:id/retry","",""
"","1","fails when keyPoints count is too low","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","runChecks","",""
"","77","returns usage info for free user","Billing","Sat Feb 28 18:35:51 UTC 2026","passed","Sat Feb 28 18:35:51 UTC 2026","","GET /usage","",""
"","0","fails when parse required retry","Video Processing","Sat Feb 28 18:35:52 UTC 2026","passed","Sat Feb 28 18:35:52 UTC 2026","","runChecks","",""
